Date,AS51 Index
14/12/2015,692904576
15/12/2015,674520640
16/12/2015,855710528
17/12/2015,1000726464
18/12/2015,1118314624
21/12/2015,463664864
22/12/2015,486324000
23/12/2015,387327040
24/12/2015,229213200
29/12/2015,361138432
30/12/2015,340337472
31/12/2015,259982288
4/01/2016,366631616
5/01/2016,446595584
6/01/2016,519038240
7/01/2016,648320384
8/01/2016,642308480
11/01/2016,599898496
12/01/2016,629065472
13/01/2016,584763136
14/01/2016,597892800
15/01/2016,563348736
18/01/2016,529159680
19/01/2016,539064960
20/01/2016,670628928
21/01/2016,730818560
22/01/2016,648059392
25/01/2016,537091136
27/01/2016,672256128
28/01/2016,650358272
29/01/2016,813062784
1/02/2016,647997952
2/02/2016,608404096
3/02/2016,638589184
4/02/2016,758321152
5/02/2016,709273984
8/02/2016,588544448
9/02/2016,793920640
10/02/2016,810594176
11/02/2016,604281088
12/02/2016,694396800
15/02/2016,633817792
16/02/2016,807603264
17/02/2016,726882496
18/02/2016,880211136
19/02/2016,678871040
22/02/2016,659844160
23/02/2016,760544896
24/02/2016,733279424
25/02/2016,768537152
26/02/2016,692489216
29/02/2016,789302208
1/03/2016,800839488
2/03/2016,829736448
3/03/2016,882057792
4/03/2016,770821760
7/03/2016,790049920
8/03/2016,973101568
9/03/2016,758414464
10/03/2016,564245056
11/03/2016,548425088
14/03/2016,560927040
15/03/2016,605075584
16/03/2016,604719936
17/03/2016,844971264
18/03/2016,1295604480
21/03/2016,455816096
22/03/2016,517296288
23/03/2016,545540608
24/03/2016,699109888
29/03/2016,514370080
30/03/2016,546526080
31/03/2016,569107776
1/04/2016,579473856
4/04/2016,389508832
5/04/2016,587827136
6/04/2016,569339712
7/04/2016,491091392
8/04/2016,458797120
11/04/2016,461539840
12/04/2016,462263168
13/04/2016,606618816
14/04/2016,642611712
15/04/2016,533286528
18/04/2016,587613760
19/04/2016,656948032
20/04/2016,663176512
21/04/2016,728455360
22/04/2016,572806848
26/04/2016,642412608
27/04/2016,654628480
28/04/2016,668368768
29/04/2016,665135744
2/05/2016,533317920
3/05/2016,704715904
4/05/2016,711326400
5/05/2016,641912000
6/05/2016,708672768
9/05/2016,528148416
10/05/2016,726902464
11/05/2016,693658816
12/05/2016,641416448
13/05/2016,610086400
16/05/2016,490328000
17/05/2016,630626112
18/05/2016,668853568
19/05/2016,673032896
20/05/2016,525238112
23/05/2016,522852096
24/05/2016,534366112
25/05/2016,639854656
26/05/2016,584351168
27/05/2016,616440960
30/05/2016,434849344
31/05/2016,949512896
1/06/2016,589007872
2/06/2016,565944640
3/06/2016,511279616
6/06/2016,529061376
7/06/2016,680274944
8/06/2016,562724096
9/06/2016,543190848
10/06/2016,468366208
14/06/2016,691652672
15/06/2016,664526848
16/06/2016,848145152
17/06/2016,1015420544
20/06/2016,543891712
21/06/2016,604341248
22/06/2016,517960992
23/06/2016,507862496
24/06/2016,1050902016
27/06/2016,676288320
28/06/2016,814404224
29/06/2016,678968512
30/06/2016,747248128
1/07/2016,636761024
4/07/2016,513024416
5/07/2016,519432320
6/07/2016,629787328
7/07/2016,536802048
8/07/2016,447483520
